commenter,responds_to,is_root_comment,post_id,created_utc,score
empleadoEstatal,notzonan,False,qeif8a,1635040770.0,2
CalamarinoDanzante,goncri,False,qeif8a,1635085111.0,1
empleadoEstatal,Lasrouy,True,qeh8wg,1635038815.0,21
fifin,Lasrouy,True,qeh8wg,1635037483.0,17
Okgame10,Lasrouy,True,qeh8wg,1635038650.0,15
Ya_boy_Max,Lasrouy,True,qeh8wg,1635038559.0,30
ssdh395,Lasrouy,True,qeh8wg,1635038323.0,7
MakZoz-25,Lasrouy,True,qeh8wg,1635037725.0,36
Good_Development,Lasrouy,True,qeh8wg,1635036410.0,5
elmarmotachico,Lasrouy,True,qeh8wg,1635046878.0,5
geniowe2002,Lasrouy,True,qeh8wg,1635038782.0,19
estoesboke99,Lasrouy,True,qeh8wg,1635045019.0,3
Naiko32,Lasrouy,True,qeh8wg,1635048461.0,3
yernidef,Lasrouy,True,qeh8wg,1635041560.0,13
LucasZchaz,Lasrouy,True,qeh8wg,1635037234.0,2
KingDiamondURU666,Lasrouy,True,qeh8wg,1635050067.0,1
arturocan,Lasrouy,True,qeh8wg,1635047379.0,1
Mage_Ozz,Lasrouy,True,qeh8wg,1635052698.0,1
Megustalafalopa69,Lasrouy,True,qeh8wg,1635089777.0,1
Neri2410,Lasrouy,True,qeh8wg,1635056913.0,1
Guilty_Stand_7511,Lasrouy,True,qeh8wg,1635078973.0,1
Megatecno,Lasrouy,True,qeh8wg,1635079540.0,1
potencia2001,Lasrouy,True,qeh8wg,1635089780.0,1
CalamarinoDanzante,Lasrouy,True,qeh8wg,1635091681.0,1
AdrianRR18,Lasrouy,True,qeh8wg,1635081319.0,0
Coloradodeomar,MakZoz-25,False,qeh8wg,1635041209.0,20
goldgrey15,Good_Development,False,qeh8wg,1635039134.0,3
AdrianRR18,elmarmotachico,False,qeh8wg,1635081448.0,3
AdrianRR18,yernidef,False,qeh8wg,1635081490.0,-2
SaveVideo,LucasZchaz,False,qeh8wg,1635037241.0,1
metabolitu,Mage_Ozz,False,qeh8wg,1635096411.0,1
tonterias,goldgrey15,False,qeh8wg,1635082161.0,4
yernidef,AdrianRR18,False,qeh8wg,1635093750.0,4
Saavi000,tonterias,False,qeh8wg,1635084679.0,2
agsuy,tonterias,False,qeh8wg,1635116225.0,1
markabrake,Nesamila,True,qeh83i,1635037651.0,10
JPHierophant,Nesamila,True,qeh83i,1635037979.0,7
Nesamila,markabrake,False,qeh83i,1635038580.0,5
Estebanm95,markabrake,False,qeh83i,1635040848.0,4
markabrake,Estebanm95,False,qeh83i,1635042092.0,5
FefiyoBread,Estebanm95,False,qeh83i,1635045846.0,4
dantecapybara,matchettehdl,True,qegzhl,1635035181.0,10
yernidef,matchettehdl,True,qegzhl,1635036141.0,4
